Country,Continent,PWT Code,WDI Code,pop75,pop09,gpop,k1975,k2009,kpw1975,kpw2009,hc1975,hc2009,rgdpwk1975,rgdpwk2009,rgdpch1960,rgdpch1965,rgdpch1970,rgdpch1975,rgdpch1980,rgdpch1985,rgdpch1990,rgdpch1995,rgdpch2000,rgdpch2005,rgdpch2006,rgdpch2007,rgdpch2008,rgdpch2009,gy7509,ki1975,ki2009,meanki,natsav09,grodomsav75,grodomsav09,govsp75,govsp09,privcap09,fdi09,imports75,imports09,trade75,trade09,openfrac,martax09,migration10,labfor75,labfor09,labpop75,labpop09,indgdp75,indgdp09,agrigdp75,agrigdp09,aggdpperagworker09,percemployagr10,natcap00,mindep09,endep09,fordep09,co2emm07,tfr75,tfr09,infmor09,malaria94,malariaecology,calories07,lifeex75,lifeex09,agedep75,agedep09,avgsch75,avgsch2010,collegeadultpop2010,compcollegeadultpop2010,avgyrsfemaleed,intuser09,tele09,cells09,comp05,gini09,topincsh09,botincsh09,ethnicfractionalization,rulelaw2009,corrcon09,polrights10,instability,obedience,perseverance,faith,trust,latitude,area
Bolivia,4,BOL,BOL,4914316,9775000,2.02,4914316,50135430082,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,19,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316,4914316
Bosnia and Herzegovina,1,BIH,BIH,3980000,4613000,0.43,3980000,62824296221,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,-0.23,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000,3980000
Botswana,3,BWA,BWA,704591,1991000,3.06,704591,77081819351,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,29.32,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591,704591
Brazil,4,BRA,BRA,109000000,199000000,1.77,109000000,3.91E+12,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,15.82,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000
Brunei,2,BRN,BRN,156223,388000,2.68,156223,30320167778,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,51.12,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223,156223
Bulgaria,1,BGR,BGR,8720742,7205000,-0.56,8720742,1.93E+11,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,13.5,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742,8720742
Burkina Faso,3,BFA,BFA,5673472,15700000,2.99,5673472,25720962875,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,4.26,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472,5673472
Burundi,3,BDI,BDI,3676308,9511000,2.8,3676308,4756162150,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,0.47,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308,3676308
Cambodia,2,KHM,KHM,7491268,14200000,1.88,7491268,37258263598,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7.43,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268,7491268
Cameroon,3,CMR,CMR,7521530,18900000,2.71,7521530,71985733559,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,20.47,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530,7521530
