Country,Continent,PWT Code,WDI Code,pop75,pop09,gpop,k1975,k2009,kpw1975,kpw2009,hc1975,hc2009,rgdpwk1975,rgdpwk2009,rgdpch1960,rgdpch1965,rgdpch1970,rgdpch1975,rgdpch1980,rgdpch1985,rgdpch1990,rgdpch1995,rgdpch2000,rgdpch2005,rgdpch2006,rgdpch2007,rgdpch2008,rgdpch2009,gy7509,ki1975,ki2009,meanki,natsav09,grodomsav75,grodomsav09,govsp75,govsp09,privcap09,fdi09,imports75,imports09,trade75,trade09,openfrac,martax09,migration10,labfor75,labfor09,labpop75,labpop09,indgdp75,indgdp09,agrigdp75,agrigdp09,aggdpperagworker09,percemployagr10,natcap00,mindep09,endep09,fordep09,co2emm07,tfr75,tfr09,infmor09,malaria94,malariaecology,calories07,lifeex75,lifeex09,agedep75,agedep09,avgsch75,avgsch2010,collegeadultpop2010,compcollegeadultpop2010,avgyrsfemaleed,intuser09,tele09,cells09,comp05,gini09,topincsh09,botincsh09,ethnicfractionalization,rulelaw2009,corrcon09,polrights10,instability,obedience,perseverance,faith,trust,latitude,area
Guatemala,4,GTM,GTM,5910462,13300000,2.39,5910462,1.54E+11,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5.11,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462,5910462
Guinea,3,GIN,GIN,4018826,10100000,2.71,4018826,22048715603,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,30.91,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826,4018826
Guinea-Bissau,3,GNB,GNB,680919,1534000,2.39,680919,1950798168,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,9.96,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919,680919
Guyana,3,GUY,GUY,767977,753000,-0.06,767977,11118080426,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,1.93,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977,767977
Haiti,4,HTI,HTI,4826993,9778000,2.08,4826993,19601917016,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,-10.79,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993,4826993
Honduras,4,HND,HND,2857540,7834000,2.97,2857540,73779572989,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,5.73,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540,2857540
Hong Kong,2,HKG,HKG,4395800,7055000,1.39,4395800,8.76E+11,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,31.16,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800,4395800
Hungary,1,HUN,HUN,10500000,10000000,-0.14,10500000,4.27E+11,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,24.87,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000,10500000
Iceland,1,ISL,ISL,218031,307000,1.01,218031,39028024011,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,22.92,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031,218031
India,2,IND,IND,619000000,1160000000,1.85,619000000,8.23E+12,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,31.05,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000,619000000
Indonesia,2,IDN,IDN,135000000,240000000,1.69,135000000,2.46E+12,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,29.27,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000,135000000
Iran,2,IRN,IRN,33300000,76000000,2.43,33300000,2.29E+12,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,39.2,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000,33300000
Iraq,2,IRQ,IRQ,11100000,28900000,2.81,11100000,3.41E+11,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,25.23,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000,11100000
Ireland,1,IRL,IRL,3177300,4580000,1.08,3177300,3.8E+11,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,34.05,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300,3177300
Israel,2,ISR,ISR,3354242,7234000,2.26,3354242,4.76E+11,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,19.14,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242,3354242
Italy,1,ITA,ITA,55600000,60500000,0.25,55600000,5.64E+12,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,17.8,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000,55600000
Jamaica,4,JAM,JAM,2104879,2826000,0.87,2104879,84312108824,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2.58,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879,2104879
Japan,2,JPN,JPN,112000000,127000000,0.37,112000000,1.54E+13,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,21.79,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000,112000000
Jordan,3,JOR,JOR,1802960,6269000,3.67,1802960,1.25E+11,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,-9.35,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960,1802960
Kazakhstan,2,KAZ,KAZ,14200000,15400000,0.24,14200000,3.71E+11,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,42.52,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000,14200000
Kenya,3,KEN,KEN,13400000,39000000,3.14,13400000,80302418756,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,5.89,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000,13400000
Kiribati,5,KIR,KIR,53226,98045,1.8,53226,2439647303,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,-59.41,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226,53226
"Korea, Republic of",2,KOR,KOR,35300000,48500000,0.93,35300000,4.56E+12,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,31.63,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000,35300000
Kuwait,2,KWT,KWT,1006892,2489000,2.66,1006892,3.21E+11,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,35.14,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892,1006892
Kyrgyzstan,2,KGZ,KGZ,3300684,5432000,1.47,3300684,16475335463,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,-5.03,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684,3300684
Laos,2,LAO,LAO,3161118,6257000,2.01,3161118,31233133137,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,15.81,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118,3161118
Latvia,1,LVA,LVA,2461606,2232000,-0.29,2461606,74656031859,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,18.28,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606,2461606
Lebanon,2,LBN,LBN,3098996,4099000,0.82,3098996,2.56E+11,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3.28,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996,3098996
Lesotho,3,LSO,LSO,1195487,1910000,1.38,1195487,9771494343,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,-44.6,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487,1195487
Liberia,3,LBR,LBR,1616234,3583000,2.34,1616234,3287696047,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,-99.55,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234,1616234
Libya,3,LBY,LBY,2569606,6324000,2.65,2569606,1.56E+11,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,55.37,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606,2569606
Lithuania,1,LTU,LTU,3305195,3555000,0.21,3305195,97615807494,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,13.82,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195,3305195
Luxembourg,1,LUX,LUX,358950,491000,0.92,358950,93759461793,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,49.26,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950,358950
Macao,2,MAC,MAC,254331,560000,2.32,254331,53028196129,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,70.27,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331,254331
Macedonia,1,MKD,MKD,1684000,2067000,0.6,1684000,38182772163,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,-0.34,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000,1684000
Madagascar,5,MDG,MDG,7603790,20700000,2.95,7603790,32752863626,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7.73,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790,7603790
